address,amount,
0x91b3e664751dc9f675b02478f49b6d16b0831747,62.9,
0x99e006003b8add20a06f446f3a17d12556d42f2e,29.75,
0x626c4642807c7b6e79cc39a2e1c36c0b5fb20f78,29.75,
0x2f7d83f98c29a6ba6816604de3485e09bfa7e747,29.75,
0x578de2718ca34c349d2d8b1ea9f5cdd9732a8097,29.75,
0xce99e81912fee351b1058e822b1aa41745aa55f5,79.05,
0xf228c411a169cb0f1f47b6010447f42e95b7062f,17,
0xbb088b60f8acbd24051cd982584e3af06b58596b,29.75,
0x91cda6a89ea48d32d8ccaccbedaf70bec2853dda,29.75,
0xbb287b63978370776321e2280bf072b4b8a59f90,646.85,
0x8e20d5b6a6653c8b27d1e8b9f0496111f6c62448,29.75,
0x1fd9e491a921a99646ce4b71f3dc98dc5a4ea5e1,29.75,
0xc4c409d19abc3c1fdfccea1ffb7c35f60d6e318b,29.75,
0x0d6e94d085a597f316be1833649e05a45103e873,31.45,
0x49bedc907502ca8297684618ac906197ce77d6da,29.75,
0xa6b409980971c515049a55751a8e43c3a2490b2c,70.3,
0x05481f8665fbd1ae0d178f2c90f20fab6016b3c6,51,
0xadef07f21f632003bd8362280688e099f56423e1,632.4,
0x9268b7e48af7786d9125f1b06a6f492c2efbe0da,29.75,
0xc00fe86454ce153578b88ccac48827ab56ec4c94,251.6,
0xe5d64d8ac035bf19b6efbd40813ee8df74365cbc,29.75,
0xc9ce667c517f8a7abb8835e0c0330f50e3e80240,29.75,
0x5b36e70b17cb5802e3db17cc1f176c0983dfd31d,632.7,
0x220ba9639380c4fe31fa5833d9b61060631c670f,29.75,
0x59d24be241ab2a98516f5d13c3f4cc1b6c29c2c9,29.75,
0xa4cbf86a2ded96f881fb0f376afec53300bb5461,29.75,
0xb02e5f89fdaba28772982cfd6910695f1b835a67,340,
0xdcce493ba201927ae995c8a7f46ba13286c0be40,46.75,
0xb99abccf221a6da2f2a9a6179010cd4bb70f7a70,29.75,
0x36dce83fa01009dcaff09c4a1099067cde9ff15b,29.75,
0x67f6a2622770c535ab8a893bb0137db86a29cde0,510,
0xb810934ae80171ffd7831e42c01100057630c5d6,29.75,
0x5aac23429b315da4c809128d54c54c155645ddac,29.75,
0x2923e92f5eba96dd750367ac9327c34a6b19e0db,396.95,
0x1c2b20c8c7f0c649ee682e1c62a3b681862f7b34,34,
0xbdfeaa18c97cb50666435bdb0359cd9253246501,29.75,
0x83203ed76751662cd85c3449d92aeb3c131d176b,170,
0x0c826f2f83c400b7f0ad1bd75fda80269899b59d,29.75,
0xc3c386ac22da5ec1790ea579b731d7b8fc310cde,29.75,
0x1ac211bf591267b55386ba4f35553a41d20f94fe,29.75,
0x57b7f1990649e292dc6b77fb0802f0278d4686f4,17,
0xabc2d79f3c5a4015bac4f4a7b57449449d115cea,29.75,
