Wallet,Reward
0xf52b2b2606f5a8f043f51f796c9be1fd76af980a,2932.5
0x854a3789d2cecf0bcdb5d33c1e7c3e442c206fb0,1275
0x409a1a6d1fe0dfa27a831dbf73bc839436902278,11400
0xd3dae942d5bef46d6984a9cdea19012dd7b8b11f,85
0xd29ca31e881d699e09e4e41c58c32d79b8ba6466,850
0x4c7d7c9845ded3a5dd6256b629d5ecc452545513,340
0x3699e8dcd4e31123aa3ddfb1a4896794d89fc992,425
0xb95408bc17fbb8b4aec4ba4862900d40ada03553,3740
0x4243306a10c6179deb93e7ab909557d283631934,850
0x964c905b602f3dcff74c20525184fa87021c17a9,3825
0xb889403e26b7e72c746704a63bda7725c51a6271,408
0xbdd1f11346bbe039ef6b32b30edfba9164a1fbf1,892.5
0x02709df42141d7dcb3e63423ef147b494382aeda,2550
0x9b4a1989066c0fb4a441121f5c756f7e260de3fd,2295
0x9c2dd4ce6b07452694912546837c017d7e83d80e,425
0x509abffc5e8d3149fd9ae3dec849797d6a3bdbe6,3372.5
